product_id,product_name,client_id,product_price
1,Sauce - Salsa,1,$630.20
2,Steampan - Foil,1,$459.80
3,Pork - Loin,1,$350.57
4,Cheese - Asiago,1,$475.91
5,Bread Ww Cluster,1,$770.69
6,Dikon,6,$512.58
7,Sardines,7,$850.19
8,Sugar - Cubes,8,$156.88
9,Mix - Cappucino Cocktail,9,$18.08
10,Lobster - Live,10,$859.26
11,Sprouts - Brussel,11,$834.32
12,Dc - Sakura Fu,12,$812.77
13,Wine - Montecillo Rioja Crianza,13,$836.90
14,Yukon Jack,14,$539.85
15,Beef - Top Butt,15,$304.09
16,Rice Wine - Aji Mirin,16,$662.76
